referencing_db,referencing_entity_name,referencing_description,referencing_minor_id,referencing_class_desc,referenced_server_name,referenced_database_name,referenced_schema_name,referenced_entity_name,referenced_column_name,is_caller_dependent,is_ambiguous
BI,POApp_PurchaseOrderReceipts,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POMaster,(n/a),0,0
BI,POApp_PurchaseOrderReceipts,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POReceipts,(n/a),0,0
BI,zPRDSC_SP_NewVendor_Requests,VIEW,(n/a),OBJECT_OR_COLUMN,Azure-PROD,APPS,dbo,PRD_SC_VendorRequests,(n/a),0,0
BI,AX_PJ_SCNonPOTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POInvoicesCombined,(n/a),0,0
BI,EGISTIX_Schedule_Upload,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,Apps,dbo,PA_COM_TradeTickets,(n/a),0,0
BI,EGISTIX_Contract_Upload,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,Apps,dbo,PA_COM_TradeTickets,(n/a),0,0
BI,POApp_PurchaseOrderMaster,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,apps,dbo,POApp_POLines,(n/a),0,0
BI,POApp_PurchaseOrderMaster,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,apps,dbo,POApp_POMaster,(n/a),0,0
BI,POApp_PurchaseOrderMaster,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,apps,dbo,POApp_POReceipts,(n/a),0,0
BI,AX_PJ_SCPOReceiptSummary,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POInvoicesCombined,(n/a),0,0
BI,AX_PJ_SCPOReceiptSummary,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POReceiptsCombined,(n/a),0,0
BI,DailyApp_VendorSafetySummary,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,ConstructionDailyApp_DailyEntries,(n/a),0,0
BI,DailyApp_VendorSafetySummary,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,ConstructionDailyApp_VendorStats,(n/a),0,0
BI,DailyApp_VendorSafetySummary,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POMasterCombined,(n/a),0,0
BI,AX_PJ_SCPOInvoices,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POInvoicesCombined,(n/a),0,0
BI,AX_PJ_SCNonPOInvoices,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POInvoicesCombined,(n/a),0,0
BI,AXPOAPP_PurchaseOrder_SCLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POLinesCombined,(n/a),0,0
BI,AXPOAPP_PurchaseOrder_SCLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POReceivedLinesCombined,(n/a),0,0
BI,AXPOAPP_PurchaseOrder_SCMaster,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POMasterCombined,(n/a),0,0
BI,AXPOAPP_PurchaseOrder_SCMaster,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POReceivedCombined,(n/a),0,0
BI,AX_COMReceivedVolumes,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,COM_PetrotranzProducertoAXGeneratorMap,(n/a),0,0
BI,PA_Projects_BiWeeklyChangeManagement,VIEW,(n/a),OBJECT_OR_COLUMN,AZURE-PROD,APPS,dbo,PA_Projects_BiWeeklyChangeManagement,(n/a),0,0
BI,PA_Projects_BiWeeklyRiskManagement,VIEW,(n/a),OBJECT_OR_COLUMN,AZURE-PROD,APPS,dbo,PA_Projects_BiWeeklyRiskManagement,(n/a),0,0
BI,PA_Projects_BiWeeklyMilestones,VIEW,(n/a),OBJECT_OR_COLUMN,AZURE-PROD,APPS,dbo,PA_Projects_BiWeeklyMilestones,(n/a),0,0
BI,PA_Projects_BiWeeklyReport,VIEW,(n/a),OBJECT_OR_COLUMN,AZURE-PROD,APPS,dbo,PA_Projects_BiWeeklyReport,(n/a),0,0
BI,AX_PJ_SCPOReceipt,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POInvoicesCombined,(n/a),0,0
BI,AX_PJ_SCPOReceipt,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POReceiptsCombined,(n/a),0,0
BI,AX_COMReceivedVolumesByWell,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,COM_PetrotranzProducertoAXGeneratorMap,(n/a),0,0
BI,PRD_SC_VendorRequests,VIEW,(n/a),OBJECT_OR_COLUMN,Azure-PROD,APPS,dbo,PRD_SC_VendorRequests,(n/a),0,0
BI,PO_Docusign_UpdateVendorApproval,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,POApp_POMaster,(n/a),0,0
BI,/_Master/CORP-AP-15 Vendor Payment Information__DataSet1,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,AZURE-PROD,APPS,dbo,PRD_SC_VendorRequests,(n/a),0,0
BI,/_Master/DS-INV-19 Procurement Order Planning__DataSet1,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,PA_DPS_SalesForecast,(n/a),0,0
BI,PR_SELECT_DPS_SalesForecast,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,PA_DPS_SalesForecast,(n/a),0,0
BI,PR_SELECT_DPS_SalesForecast,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,PA_DPS_SalesForecastEmployee,(n/a),0,0
BI,PR_UPDATE_DPS_SalesForecast_QTY,SQL_STORED_PROCEDURE,(n/a),OBJECT_OR_COLUMN,NULL,APPS,dbo,PA_DPS_SalesForecast,(n/a),0,0
BI,AX_FixedAsset_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ASSETTABLE,(n/a),0,0
BI,AX_FixedAsset_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ASSETTRANS,(n/a),0,0
BI,zExcel_DPS_CustomerRevenue,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SALESTABLE,(n/a),0,0
